indicador_id,periodo,valor,semana_inicio
indicador_id,periodo,valor,semana_inicio
esp_bautismo_p2040_total_S52,S52,597,2024-12-29
esp_bautismo_p2040_total_S52,S52,597,2024-12-30
esp_bautismo_p2040_total_S01,S01,597,2025-01-06
esp_bautismo_p2040_total_S02,S02,598,2025-01-13
esp_bautismo_p2040_total_S48,S48,598,2024-12-01
esp_bautismo_p2040_total_S47,S47,598,2024-11-24
esp_bautismo_p2040_total_S51,S51,598,2024-12-23
esp_bautismo_p2040_total_S49,S49,599,2024-12-09
esp_bautismo_p2040_total_S50,S50,599,2024-12-16
esp_bautismo_p2040_total_S03,S03,602,2025-01-20
esp_bautismo_p2040_total_S04,S04,628,2025-01-26
esp_bautismo_p2040_total_S05,S05,628,2025-02-03
esp_bautismo_p2040_total_S04,S04,630,2025-01-27
esp_bautismo_p2040_total_S06,S06,631,2025-02-10
esp_bautismo_p2040_total_S09,S09,633,2025-03-03
esp_bautismo_p2040_total_S07,S07,634,2025-02-17
esp_bautismo_p2040_total_S11,S11,634,2025-03-17
esp_bautismo_p2040_total_S10,S10,634,2025-03-10
esp_bautismo_p2040_total_S08,S08,635,2025-02-24
esp_bautismo_p2040_total_S08,S08,635,2025-02-23
esp_bautismo_p2040_total_S12,S12,635,2025-03-24
esp_bautismo_p2040_total_S13,S13,638,2025-03-31
esp_bautismo_p2040_total_S13,S13,638,2025-03-30
esp_bautismo_p2040_total_S14,S14,639,2025-04-07
esp_bautismo_p2040_total_S17,S17,642,2025-04-27
esp_bautismo_p2040_total_S18,S18,643,2025-05-05
esp_bautismo_p2040_total_S15,S15,643,2025-04-14
esp_bautismo_p2040_total_S16,S16,643,2025-04-21
esp_bautismo_p2040_total_S17,S17,643,2025-04-28
esp_bautismo_p2040_total_S19,S19,644,2025-05-12
esp_bautismo_p2040_total_S20,S20,644,2025-05-19
indicador_id,periodo,valor,semana_inicio
juf_regcivil_p2040_var_S52,S52,-0.1,2024-12-29
juf_regcivil_p2040_var_S52,S52,0,2024-12-30
juf_regcivil_p2040_var_S01,S01,0,2025-01-06
juf_regcivil_p2040_var_S02,S02,0,2025-01-13
juf_regcivil_p2040_var_S48,S48,0.1,2024-12-01
juf_regcivil_p2040_var_S47,S47,,2024-11-24
juf_regcivil_p2040_var_S51,S51,0.3,2024-12-23
juf_regcivil_p2040_var_S49,S49,-0.2,2024-12-09
juf_regcivil_p2040_var_S50,S50,-0.1,2024-12-16
juf_regcivil_p2040_var_S03,S03,0.1,2025-01-20
juf_regcivil_p2040_var_S04,S04,0,2025-01-26
juf_regcivil_p2040_var_S05,S05,0,2025-02-03
juf_regcivil_p2040_var_S04,S04,0,2025-01-27
juf_regcivil_p2040_var_S06,S06,0.1,2025-02-10
juf_regcivil_p2040_var_S09,S09,0.1,2025-03-03
juf_regcivil_p2040_var_S07,S07,-0.2,2025-02-17
juf_regcivil_p2040_var_S11,S11,0,2025-03-17
juf_regcivil_p2040_var_S10,S10,-0.1,2025-03-10
juf_regcivil_p2040_var_S08,S08,0,2025-02-24
juf_regcivil_p2040_var_S08,S08,-0.1,2025-02-23
juf_regcivil_p2040_var_S12,S12,0.1,2025-03-24
juf_regcivil_p2040_var_S13,S13,-0.1,2025-03-31
juf_regcivil_p2040_var_S13,S13,0,2025-03-30
juf_regcivil_p2040_var_S14,S14,0.1,2025-04-07
juf_regcivil_p2040_var_S17,S17,0,2025-04-27
juf_regcivil_p2040_var_S18,S18,0,2025-05-05
juf_regcivil_p2040_var_S15,S15,0.1,2025-04-14
juf_regcivil_p2040_var_S16,S16,0,2025-04-21
juf_regcivil_p2040_var_S17,S17,0,2025-04-28
juf_regcivil_p2040_var_S19,S19,0.1,2025-05-12
juf_regcivil_p2040_var_S20,S20,-0.1,2025-05-19
indicador_id,periodo,valor,semana_inicio
juf_regcivil_p2040_pct_S52,S52,99.7,2024-12-29
juf_regcivil_p2040_pct_S52,S52,99.7,2024-12-30
juf_regcivil_p2040_pct_S01,S01,99.7,2025-01-06
juf_regcivil_p2040_pct_S02,S02,99.7,2025-01-13
juf_regcivil_p2040_pct_S48,S48,99.9,2024-12-01
juf_regcivil_p2040_pct_S47,S47,99.8,2024-11-24
juf_regcivil_p2040_pct_S51,S51,99.9,2024-12-23
juf_regcivil_p2040_pct_S49,S49,99.6,2024-12-09
juf_regcivil_p2040_pct_S50,S50,99.6,2024-12-16
juf_regcivil_p2040_pct_S03,S03,99.9,2025-01-20
juf_regcivil_p2040_pct_S04,S04,99.9,2025-01-26
juf_regcivil_p2040_pct_S05,S05,99.9,2025-02-03
juf_regcivil_p2040_pct_S04,S04,99.9,2025-01-27
juf_regcivil_p2040_pct_S06,S06,99.9,2025-02-10
juf_regcivil_p2040_pct_S09,S09,99.7,2025-03-03
juf_regcivil_p2040_pct_S07,S07,99.7,2025-02-17
juf_regcivil_p2040_pct_S11,S11,99.6,2025-03-17
juf_regcivil_p2040_pct_S10,S10,99.6,2025-03-10
juf_regcivil_p2040_pct_S08,S08,99.6,2025-02-24
juf_regcivil_p2040_pct_S08,S08,99.6,2025-02-23
juf_regcivil_p2040_pct_S12,S12,99.7,2025-03-24
juf_regcivil_p2040_pct_S13,S13,99.6,2025-03-31
juf_regcivil_p2040_pct_S13,S13,99.7,2025-03-30
juf_regcivil_p2040_pct_S14,S14,99.7,2025-04-07
juf_regcivil_p2040_pct_S17,S17,99.8,2025-04-27
juf_regcivil_p2040_pct_S18,S18,99.8,2025-05-05
juf_regcivil_p2040_pct_S15,S15,99.8,2025-04-14
juf_regcivil_p2040_pct_S16,S16,99.8,2025-04-21
juf_regcivil_p2040_pct_S17,S17,99.8,2025-04-28
juf_regcivil_p2040_pct_S19,S19,99.9,2025-05-12
juf_regcivil_p2040_pct_S20,S20,99.7,2025-05-19
indicador_id,periodo,valor,semana_inicio
juf_regcivil_p2040_total_S52,S52,1346,2024-12-29
juf_regcivil_p2040_total_S52,S52,1346,2024-12-30
juf_regcivil_p2040_total_S01,S01,1346,2025-01-06
juf_regcivil_p2040_total_S02,S02,1348,2025-01-13
juf_regcivil_p2040_total_S48,S48,1349,2024-12-01
juf_regcivil_p2040_total_S47,S47,1354,2024-11-24
juf_regcivil_p2040_total_S51,S51,1355,2024-12-23
juf_regcivil_p2040_total_S49,S49,1352,2024-12-09
juf_regcivil_p2040_total_S50,S50,1354,2024-12-16
juf_regcivil_p2040_total_S03,S03,1354,2025-01-20
juf_regcivil_p2040_total_S04,S04,1344,2025-01-26
juf_regcivil_p2040_total_S05,S05,1345,2025-02-03
juf_regcivil_p2040_total_S04,S04,1355,2025-01-27
juf_regcivil_p2040_total_S06,S06,1344,2025-02-10
juf_regcivil_p2040_total_S09,S09,1366,2025-03-03
juf_regcivil_p2040_total_S07,S07,1364,2025-02-17
juf_regcivil_p2040_total_S11,S11,1367,2025-03-17
juf_regcivil_p2040_total_S10,S10,1367,2025-03-10
juf_regcivil_p2040_total_S08,S08,1367,2025-02-24
juf_regcivil_p2040_total_S08,S08,1368,2025-02-23
juf_regcivil_p2040_total_S12,S12,1379,2025-03-24
juf_regcivil_p2040_total_S13,S13,1382,2025-03-31
juf_regcivil_p2040_total_S13,S13,1383,2025-03-30
juf_regcivil_p2040_total_S14,S14,1381,2025-04-07
juf_regcivil_p2040_total_S17,S17,1386,2025-04-27
juf_regcivil_p2040_total_S18,S18,1387,2025-05-05
juf_regcivil_p2040_total_S15,S15,1389,2025-04-14
juf_regcivil_p2040_total_S16,S16,1390,2025-04-21
juf_regcivil_p2040_total_S17,S17,1390,2025-04-28
juf_regcivil_p2040_total_S19,S19,1389,2025-05-12
juf_regcivil_p2040_total_S20,S20,1397,2025-05-19
indicador_id,periodo,valor,semana_inicio
salud_seguro_p2040_var_S52,S52,-0.4,2024-12-29
salud_seguro_p2040_var_S52,S52,0,2024-12-30
salud_seguro_p2040_var_S01,S01,0,2025-01-06
salud_seguro_p2040_var_S02,S02,0,2025-01-13
salud_seguro_p2040_var_S48,S48,0.1,2024-12-01
salud_seguro_p2040_var_S47,S47,,2024-11-24
salud_seguro_p2040_var_S51,S51,0.1,2024-12-23
salud_seguro_p2040_var_S49,S49,-0.2,2024-12-09
salud_seguro_p2040_var_S50,S50,-0.2,2024-12-16
salud_seguro_p2040_var_S03,S03,-0,2025-01-20
salud_seguro_p2040_var_S04,S04,0,2025-01-26
salud_seguro_p2040_var_S05,S05,0,2025-02-03
salud_seguro_p2040_var_S04,S04,-0,2025-01-27
salud_seguro_p2040_var_S06,S06,0.1,2025-02-10
salud_seguro_p2040_var_S09,S09,-0.2,2025-03-03
salud_seguro_p2040_var_S07,S07,-0.3,2025-02-17
salud_seguro_p2040_var_S11,S11,0,2025-03-17
salud_seguro_p2040_var_S10,S10,-0.1,2025-03-10
salud_seguro_p2040_var_S08,S08,0.3,2025-02-24
salud_seguro_p2040_var_S08,S08,-0.4,2025-02-23
salud_seguro_p2040_var_S12,S12,-0.6,2025-03-24
salud_seguro_p2040_var_S13,S13,0,2025-03-31
salud_seguro_p2040_var_S13,S13,0.1,2025-03-30
salud_seguro_p2040_var_S14,S14,-0,2025-04-07
salud_seguro_p2040_var_S17,S17,0,2025-04-27
salud_seguro_p2040_var_S18,S18,0,2025-05-05
salud_seguro_p2040_var_S15,S15,0,2025-04-14
salud_seguro_p2040_var_S16,S16,0,2025-04-21
salud_seguro_p2040_var_S17,S17,-0,2025-04-28
salud_seguro_p2040_var_S19,S19,0,2025-05-12
salud_seguro_p2040_var_S20,S20,-0.3,2025-05-19
indicador_id,periodo,valor,semana_inicio
salud_seguro_p2040_pct_S52,S52,85.3,2024-12-29
salud_seguro_p2040_pct_S52,S52,85.3,2024-12-30
salud_seguro_p2040_pct_S01,S01,85.3,2025-01-06
salud_seguro_p2040_pct_S02,S02,85.3,2025-01-13
salud_seguro_p2040_pct_S48,S48,85.9,2024-12-01
salud_seguro_p2040_pct_S47,S47,85.8,2024-11-24
salud_seguro_p2040_pct_S51,S51,85.6,2024-12-23
salud_seguro_p2040_pct_S49,S49,85.7,2024-12-09
salud_seguro_p2040_pct_S50,S50,85.5,2024-12-16
salud_seguro_p2040_pct_S03,S03,85.3,2025-01-20
salud_seguro_p2040_pct_S04,S04,85.3,2025-01-26
salud_seguro_p2040_pct_S05,S05,85.3,2025-02-03
salud_seguro_p2040_pct_S04,S04,85.3,2025-01-27
salud_seguro_p2040_pct_S06,S06,85.4,2025-02-10
salud_seguro_p2040_pct_S09,S09,84.8,2025-03-03
salud_seguro_p2040_pct_S07,S07,85.1,2025-02-17
salud_seguro_p2040_pct_S11,S11,84.7,2025-03-17
salud_seguro_p2040_pct_S10,S10,84.7,2025-03-10
salud_seguro_p2040_pct_S08,S08,85,2025-02-24
salud_seguro_p2040_pct_S08,S08,84.7,2025-02-23
salud_seguro_p2040_pct_S12,S12,84.2,2025-03-24
salud_seguro_p2040_pct_S13,S13,84.3,2025-03-31
salud_seguro_p2040_pct_S13,S13,84.3,2025-03-30
salud_seguro_p2040_pct_S14,S14,84.3,2025-04-07
salud_seguro_p2040_pct_S17,S17,84.3,2025-04-27
salud_seguro_p2040_pct_S18,S18,84.3,2025-05-05
salud_seguro_p2040_pct_S15,S15,84.3,2025-04-14
salud_seguro_p2040_pct_S16,S16,84.3,2025-04-21
salud_seguro_p2040_pct_S17,S17,84.3,2025-04-28
salud_seguro_p2040_pct_S19,S19,84.3,2025-05-12
salud_seguro_p2040_pct_S20,S20,84.1,2025-05-19
indicador_id,periodo,valor,semana_inicio
salud_seguro_p2040_total_S52,S52,1151,2024-12-29
salud_seguro_p2040_total_S52,S52,1151,2024-12-30
salud_seguro_p2040_total_S01,S01,1151,2025-01-06
salud_seguro_p2040_total_S02,S02,1153,2025-01-13
salud_seguro_p2040_total_S48,S48,1160,2024-12-01
salud_seguro_p2040_total_S47,S47,1164,2024-11-24
salud_seguro_p2040_total_S51,S51,1162,2024-12-23
salud_seguro_p2040_total_S49,S49,1163,2024-12-09
salud_seguro_p2040_total_S50,S50,1163,2024-12-16
salud_seguro_p2040_total_S03,S03,1156,2025-01-20
salud_seguro_p2040_total_S04,S04,1148,2025-01-26
salud_seguro_p2040_total_S05,S05,1149,2025-02-03
salud_seguro_p2040_total_S04,S04,1157,2025-01-27
salud_seguro_p2040_total_S06,S06,1148,2025-02-10
salud_seguro_p2040_total_S09,S09,1162,2025-03-03
salud_seguro_p2040_total_S07,S07,1164,2025-02-17
salud_seguro_p2040_total_S11,S11,1162,2025-03-17
salud_seguro_p2040_total_S10,S10,1162,2025-03-10
salud_seguro_p2040_total_S08,S08,1166,2025-02-24
salud_seguro_p2040_total_S08,S08,1163,2025-02-23
