salud_seguro_pct_S20,S20,84.1,19/05/2025
salud_seguro_total_S20,S20,1178,19/05/2025
p_juf_regcivil_var_S20,S20,-0.1,19/05/2025
p_juf_regcivil_pct_S20,S20,99.7,19/05/2025
juf_suenos_var_S20,S20,1.4,19/05/2025
juf_regcivil_total_S20,S20,1397,19/05/2025
guias_S20,S20,12,19/05/2025
f2040_S20,S20,1,15/05/2023
f2040_S20,S20,1,20/05/2024
esp_consagracion_pct_S20,S20,60.7,19/05/2025
esp_consagracion_total_S20,S20,851,19/05/2025
esp_bautismo_var_S20,S20,-0.7,19/05/2025
esp_bautismo_pct_S20,S20,46,19/05/2025
esp_bautismo_total_S20,S20,644,19/05/2025
V_var_S19,S19,0.2,12/05/2025
V_total_S19,S19,1391,12/05/2025
V_percent_S19,S19,4.4,12/05/2025
V_E_var_S19,S19,-37.5,12/05/2025
V_E_total_S19,S19,15,12/05/2025
V_E_percent_S19,S19,250,12/05/2025
salud_seguro_var_S19,S19,0,12/05/2025
salud_seguro_pct_S19,S19,84.3,12/05/2025
salud_seguro_total_S19,S19,1173,12/05/2025
p_juf_regcivil_var_S19,S19,0.1,12/05/2025
p_juf_regcivil_pct_S19,S19,99.9,12/05/2025
juf_suenos_var_S19,S19,0.4,12/05/2025
juf_regcivil_total_S19,S19,1389,12/05/2025
guias_S19,S19,12,12/05/2025
f2040_S19,S19,6,12/05/2025
esp_consagracion_pct_S19,S19,61.2,12/05/2025
esp_consagracion_total_S19,S19,851,12/05/2025
esp_bautismo_var_S19,S19,0.1,12/05/2025
esp_bautismo_pct_S19,S19,46.3,12/05/2025
esp_bautismo_total_S19,S19,644,12/05/2025
V_var_S18,S18,-0.2,05/05/2025
V_total_S18,S18,1388,05/05/2025
V_percent_S18,S18,4.6,05/05/2025
V_E_var_S18,S18,700,05/05/2025
V_E_total_S18,S18,32,05/05/2025
V_E_percent_S18,S18,400,05/05/2025
salud_seguro_var_S18,S18,0,05/05/2025
salud_seguro_pct_S18,S18,84.3,05/05/2025
salud_seguro_total_S18,S18,1172,05/05/2025
p_juf_regcivil_var_S18,S18,0,05/05/2025
p_juf_regcivil_pct_S18,S18,99.8,05/05/2025
juf_suenos_var_S18,S18,0.1,05/05/2025
juf_regcivil_total_S18,S18,1387,05/05/2025
guias_S18,S18,12,05/05/2025
f2040_S18,S18,1,01/05/2023
f2040_S18,S18,8,05/05/2025
f2040_S18,S18,2,06/05/2024
esp_consagracion_pct_S18,S18,61.2,05/05/2025
esp_consagracion_total_S18,S18,851,05/05/2025
esp_bautismo_var_S18,S18,0.2,05/05/2025
esp_bautismo_pct_S18,S18,46.3,05/05/2025
esp_bautismo_total_S18,S18,643,05/05/2025
V_var_S17,S17,-0.1,21/04/2025
V_var_S17,S17,0,28/04/2025
V_total_S17,S17,1387,21/04/2025
V_total_S17,S17,1391,28/04/2025
V_percent_S17,S17,4.8,28/04/2025
V_percent_S17,S17,5.4,21/04/2025
V_E_var_S17,S17,26.3,28/04/2025
V_E_total_S17,S17,5,28/04/2025
V_E_percent_S17,S17,50,28/04/2025
salud_seguro_var_S17,S17,0,21/04/2025
salud_seguro_var_S17,S17,0,28/04/2025
salud_seguro_pct_S17,S17,84.3,28/04/2025
salud_seguro_pct_S17,S17,84.3,21/04/2025
salud_seguro_total_S17,S17,1174,28/04/2025
salud_seguro_total_S17,S17,1171,21/04/2025
p_juf_regcivil_var_S17,S17,0,21/04/2025
p_juf_regcivil_var_S17,S17,0,28/04/2025
p_juf_regcivil_pct_S17,S17,99.8,28/04/2025
p_juf_regcivil_pct_S17,S17,99.8,21/04/2025
juf_suenos_var_S17,S17,0.1,21/04/2025
juf_regcivil_total_S17,S17,1390,28/04/2025
juf_regcivil_total_S17,S17,1386,21/04/2025
guias_S17,S17,13,28/04/2025
guias_S17,S17,12,21/04/2025
f2040_S17,S17,10,28/04/2025
f2040_S17,S17,1,24/04/2023
esp_consagracion_pct_S17,S17,61.1,28/04/2025
esp_consagracion_pct_S17,S17,61.2,21/04/2025
esp_consagracion_total_S17,S17,851,28/04/2025
esp_consagracion_total_S17,S17,850,21/04/2025
esp_bautismo_var_S17,S17,0.1,21/04/2025
esp_bautismo_var_S17,S17,-0.1,28/04/2025
esp_bautismo_pct_S17,S17,46.2,28/04/2025
esp_bautismo_pct_S17,S17,46.2,21/04/2025
esp_bautismo_total_S17,S17,643,28/04/2025
esp_bautismo_total_S17,S17,642,21/04/2025
V_var_S16,S16,0.3,21/04/2025
V_total_S16,S16,1391,21/04/2025
V_percent_S16,S16,5.1,21/04/2025
salud_seguro_var_S16,S16,0,21/04/2025
salud_seguro_pct_S16,S16,84.3,21/04/2025
salud_seguro_total_S16,S16,1174,21/04/2025
p_juf_regcivil_var_S16,S16,0,21/04/2025
p_juf_regcivil_pct_S16,S16,99.8,21/04/2025
juf_regcivil_total_S16,S16,1390,21/04/2025
guias_S16,S16,13,21/04/2025
f2040_S16,S16,2,21/04/2025
esp_consagracion_var_S16,S16,-0.1,21/04/2025
esp_consagracion_pct_S16,S16,61.1,21/04/2025
esp_consagracion_total_S16,S16,851,21/04/2025
