indicador_id,periodo,valor
juf_regcivil_p2040_var_S03,S03,-0.1
juf_regcivil_p2040_var_S04,S04,0
juf_regcivil_p2040_var_S02,S02,0
juf_regcivil_p2040_var_S04,S04,0.1
juf_regcivil_p2040_var_S02,S02,0.1
juf_regcivil_p2040_var_S01,S01,0
juf_regcivil_p2040_var_S05,S05,-0.1
juf_regcivil_p2040_var_S05,S05,0
juf_regcivil_p2040_var_S03,S03,0.1
juf_regcivil_p2040_var_S03,S03,-0.2
juf_regcivil_p2040_var_S01,S01,0.1
juf_regcivil_p2040_var_S01,S01,0.1
juf_regcivil_p2040_var_S04,S04,0.3
juf_regcivil_p2040_var_S04,S04,0
juf_regcivil_p2040_var_S04,S04,0
juf_regcivil_p2040_var_S03,S03,0
juf_regcivil_p2040_var_S02,S02,-0.1
juf_regcivil_p2040_var_S04,S04,-0.1
juf_regcivil_p2040_var_S02,S02,-0.2
juf_regcivil_p2040_var_S03,S03,-0.1
juf_regcivil_p2040_var_S04,S04,
indicador_id,periodo,valor
juf_regcivil_p2040_pct_S04,S04,99.8
juf_regcivil_p2040_pct_S01,S01,99.7
juf_regcivil_p2040_pct_S05,S05,99.7
juf_regcivil_p2040_pct_S05,S05,99.7
juf_regcivil_p2040_pct_S01,S01,99.7
juf_regcivil_p2040_pct_S01,S01,99.8
juf_regcivil_p2040_pct_S02,S02,99.8
juf_regcivil_p2040_pct_S02,S02,99.9
juf_regcivil_p2040_pct_S04,S04,99.8
juf_regcivil_p2040_pct_S03,S03,99.8
juf_regcivil_p2040_pct_S03,S03,99.7
juf_regcivil_p2040_pct_S04,S04,99.9
juf_regcivil_p2040_pct_S02,S02,99.7
juf_regcivil_p2040_pct_S04,S04,99.7
juf_regcivil_p2040_pct_S02,S02,99.9
juf_regcivil_p2040_pct_S01,S01,99.9
juf_regcivil_p2040_pct_S05,S05,99.6
juf_regcivil_p2040_pct_S05,S05,99.7
juf_regcivil_p2040_pct_S03,S03,99.9
juf_regcivil_p2040_pct_S03,S03,99.7
juf_regcivil_p2040_pct_S01,S01,99.7
juf_regcivil_p2040_pct_S01,S01,99.9
juf_regcivil_p2040_pct_S04,S04,99.9
juf_regcivil_p2040_pct_S04,S04,99.9
juf_regcivil_p2040_pct_S04,S04,99.6
juf_regcivil_p2040_pct_S03,S03,99.6
juf_regcivil_p2040_pct_S02,S02,99.6
