indicador_id,periodo,valor
salud_seguro_var_S04,S04,0
salud_seguro_var_S05,S05,0
salud_seguro_var_S04,S04,-0
salud_seguro_var_S06,S06,0.1
salud_seguro_var_S09,S09,-0.2
salud_seguro_var_S07,S07,-0.3
salud_seguro_var_S11,S11,0
salud_seguro_var_S10,S10,-0.1
salud_seguro_var_S08,S08,0.3
salud_seguro_var_S08,S08,-0.4
salud_seguro_var_S12,S12,-0.6
salud_seguro_var_S13,S13,0
salud_seguro_var_S13,S13,0.1
salud_seguro_var_S14,S14,-0
salud_seguro_var_S17,S17,0
salud_seguro_var_S18,S18,0
salud_seguro_var_S15,S15,0
salud_seguro_var_S16,S16,0
salud_seguro_var_S17,S17,-0
salud_seguro_var_S19,S19,0
salud_seguro_var_S20,S20,-0.3
salud_seguro_pct_S52,S52,85.3
salud_seguro_pct_S52,S52,85.3
salud_seguro_pct_S01,S01,85.3
salud_seguro_pct_S02,S02,85.3
salud_seguro_pct_S48,S48,85.9
salud_seguro_pct_S47,S47,85.8
salud_seguro_pct_S51,S51,85.6
salud_seguro_pct_S49,S49,85.7
salud_seguro_pct_S50,S50,85.5
salud_seguro_pct_S03,S03,85.3
salud_seguro_pct_S04,S04,85.3
salud_seguro_pct_S05,S05,85.3
salud_seguro_pct_S04,S04,85.3
salud_seguro_pct_S06,S06,85.4
salud_seguro_pct_S09,S09,84.8
salud_seguro_pct_S07,S07,85.1
salud_seguro_pct_S11,S11,84.7
salud_seguro_pct_S10,S10,84.7
salud_seguro_pct_S08,S08,85
salud_seguro_pct_S08,S08,84.7
salud_seguro_pct_S12,S12,84.2
salud_seguro_pct_S13,S13,84.3
salud_seguro_pct_S13,S13,84.3
salud_seguro_pct_S14,S14,84.3
salud_seguro_pct_S17,S17,84.3
salud_seguro_pct_S18,S18,84.3
salud_seguro_pct_S15,S15,84.3
salud_seguro_pct_S16,S16,84.3
salud_seguro_pct_S17,S17,84.3
salud_seguro_pct_S19,S19,84.3
salud_seguro_pct_S20,S20,84.1
juf_suenos_var_S52,S52,-0.3
juf_suenos_var_S52,S52,0
juf_suenos_var_S01,S01,0
juf_suenos_var_S02,S02,2
juf_suenos_var_S48,S48,0.2
juf_suenos_var_S47,S47,
juf_suenos_var_S51,S51,0.1
juf_suenos_var_S49,S49,-0.4
juf_suenos_var_S50,S50,-0.2
juf_suenos_var_S03,S03,3.4
juf_suenos_var_S04,S04,5.7
juf_suenos_var_S05,S05,3.7
juf_suenos_var_S04,S04,-3.3
juf_suenos_var_S06,S06,0.1
juf_suenos_var_S09,S09,-0.2
juf_suenos_var_S07,S07,-1.4
juf_suenos_var_S11,S11,0
juf_suenos_var_S10,S10,-0.1
juf_suenos_var_S08,S08,0.3
juf_suenos_var_S08,S08,-0.5
juf_suenos_var_S12,S12,-0.8
juf_suenos_var_S13,S13,0
juf_suenos_var_S13,S13,-0.4
juf_suenos_var_S14,S14,0.2
juf_suenos_var_S17,S17,0.1
juf_suenos_var_S18,S18,0.1
juf_suenos_var_S15,S15,-0.4
juf_suenos_var_S16,S16,-0.1
juf_suenos_var_S17,S17,-0.1
juf_suenos_var_S19,S19,0.4
juf_suenos_var_S20,S20,1.4
juf_suenos_pct_S52,S52,80.3
juf_suenos_pct_S52,S52,80.3
juf_suenos_pct_S01,S01,80.3
juf_suenos_pct_S02,S02,81.9
juf_suenos_pct_S48,S48,80.9
juf_suenos_pct_S47,S47,80.8
juf_suenos_pct_S51,S51,80.5
juf_suenos_pct_S49,S49,80.6
juf_suenos_pct_S50,S50,80.4
juf_suenos_pct_S03,S03,84.7
juf_suenos_pct_S04,S04,89.5
juf_suenos_pct_S05,S05,89.7
juf_suenos_pct_S04,S04,86.5
juf_suenos_pct_S06,S06,89.8
juf_suenos_pct_S09,S09,88.2
juf_suenos_pct_S07,S07,88.6
juf_suenos_pct_S11,S11,88.2
juf_suenos_pct_S10,S10,88.2
juf_suenos_pct_S08,S08,88.4
juf_suenos_pct_S08,S08,88.1
juf_suenos_pct_S12,S12,87.5
juf_suenos_pct_S13,S13,87.2
juf_suenos_pct_S13,S13,87.2
juf_suenos_pct_S14,S14,87.4
juf_suenos_pct_S17,S17,87
juf_suenos_pct_S18,S18,87.1
juf_suenos_pct_S15,S15,87
juf_suenos_pct_S16,S16,86.9
juf_suenos_pct_S17,S17,86.9
juf_suenos_pct_S19,S19,87.4
juf_suenos_pct_S20,S20,88.7
U2040_S52,S52,1350
U2040_S52,S52,1350
U2040_S01,S01,1350
U2040_S02,S02,1352
U2040_S48,S48,1351
U2040_S47,S47,1357
U2040_S51,S51,1357
U2040_S49,S49,1357
U2040_S50,S50,1360
U2040_S03,S03,1356
U2040_S04,S04,1346
U2040_S05,S05,1347
U2040_S04,S04,1357
U2040_S06,S06,1345
U2040_S09,S09,1370
U2040_S07,S07,1368
U2040_S11,S11,1372
U2040_S10,S10,1372
U2040_S08,S08,1372
U2040_S08,S08,1373
U2040_S12,S12,1383
U2040_S13,S13,1387
U2040_S13,S13,1387
U2040_S14,S14,1385
U2040_S17,S17,1389
U2040_S18,S18,1390
U2040_S15,S15,1392
U2040_S16,S16,1393
U2040_S17,S17,1393
U2040_S19,S19,1391
U2040_S20,S20,1401
